1;10/03/2004;18.00.00;2.600000;1360;150;11.9;1046;166;1056;113;1692;1268;13.6;48.9;0.7578
2;10/03/2004;19.00.00;2.000000;1292;112;9.4;955;103;1174;92;1559;972;13.3;47.7;0.7255
3;10/03/2004;20.00.00;2.200000;1402;88;9.0;939;131;1140;114;1555;1074;11.9;54.0;0.7502
4;10/03/2004;21.00.00;2.200000;1376;80;9.2;948;172;1092;122;1584;1203;11.0;60.0;0.7867
5;10/03/2004;22.00.00;1.600000;1272;51;6.5;836;131;1205;116;1490;1110;11.2;59.6;0.7888
6;10/03/2004;23.00.00;1.200000;1197;38;4.7;750;89;1337;96;1393;949;11.2;59.2;0.7848
7;11/03/2004;00.00.00;1.200000;1185;31;3.6;690;62;1462;77;1333;733;11.3;56.8;0.7603
8;11/03/2004;01.00.00;1.000000;1136;31;3.3;672;62;1453;76;1333;730;10.7;60.0;0.7702
9;11/03/2004;02.00.00;0.900000;1094;24;2.3;609;45;1579;60;1276;620;10.7;59.7;0.7648
10;11/03/2004;03.00.00;0.600000;1010;19;1.7;561;NaN;1705;NaN;1235;501;10.3;60.2;0.7517
11;11/03/2004;04.00.00;NaN;1011;14;1.3;527;21;1818;34;1197;445;10.1;60.5;0.7465
12;11/03/2004;05.00.00;0.700000;1066;8;1.1;512;16;1918;28;1182;422;11.0;56.2;0.7366
13;11/03/2004;06.00.00;0.700000;1052;16;1.6;553;34;1738;48;1221;472;10.5;58.1;0.7353
14;11/03/2004;07.00.00;1.100000;1144;29;3.2;667;98;1490;82;1339;730;10.2;59.6;0.7417
15;11/03/2004;08.00.00;2.000000;1333;64;8.0;900;174;1136;112;1517;1102;10.8;57.4;0.7408
16;11/03/2004;09.00.00;2.200000;1351;87;9.5;960;129;1079;101;1583;1028;10.5;60.6;0.7691
17;11/03/2004;10.00.00;1.700000;1233;77;6.3;827;112;1218;98;1446;860;10.8;58.4;0.7552
18;11/03/2004;11.00.00;1.500000;1179;43;5.0;762;95;1328;92;1362;671;10.5;57.9;0.7352
19;11/03/2004;12.00.00;1.600000;1236;61;5.2;774;104;1301;95;1401;664;9.5;66.8;0.7951
20;11/03/2004;13.00.00;1.900000;1286;63;7.3;869;146;1162;112;1537;799;8.3;76.4;0.8393
21;11/03/2004;14.00.00;2.900000;1371;164;11.5;1034;207;983;128;1730;1037;8.0;81.1;0.8736
22;11/03/2004;15.00.00;2.200000;1310;79;8.8;933;184;1082;126;1647;946;8.3;79.8;0.8778
23;11/03/2004;16.00.00;2.200000;1292;95;8.3;912;193;1103;131;1591;957;9.7;71.2;0.8569
24;11/03/2004;17.00.00;2.900000;1383;150;11.2;1020;243;1008;135;1719;1104;9.8;67.6;0.8185
25;11/03/2004;18.00.00;4.800000;1581;307;20.8;1319;281;799;151;2083;1409;10.3;64.2;0.8065
26;11/03/2004;19.00.00;6.900000;1776;461;27.4;1488;383;702;172;2333;1704;9.7;69.3;0.8319
27;11/03/2004;20.00.00;6.100000;1640;401;24.0;1404;351;743;165;2191;1654;9.6;67.8;0.8133
28;11/03/2004;21.00.00;3.900000;1313;197;12.8;1076;240;957;136;1707;1285;9.1;64.0;0.7419
29;11/03/2004;22.00.00;1.500000;965;61;4.7;749;94;1325;85;1333;821;8.2;63.4;0.6905
30;11/03/2004;23.00.00;1.000000;913;26;2.6;629;47;1565;53;1252;552;8.2;60.8;0.6657
